Algorithm,n,trial,TimeMs
BubbleSort,1000,1,3.1949
MergeSort,1000,1,0.7294
QuickSort,1000,1,0.7428
HeapSort,1000,1,1.0468
SelectionSort,1000,1,1.7862
BubbleSort,1000,2,1.4493
MergeSort,1000,2,0.1067
QuickSort,1000,2,0.1032
HeapSort,1000,2,0.1496
SelectionSort,1000,2,0.9414
BubbleSort,1000,3,2.0211
MergeSort,1000,3,0.104
QuickSort,1000,3,0.0704
HeapSort,1000,3,0.2042
SelectionSort,1000,3,1.0386
BubbleSort,1000,4,1.5527
MergeSort,1000,4,0.1223
QuickSort,1000,4,0.071
HeapSort,1000,4,0.1394
SelectionSort,1000,4,0.2533
BubbleSort,1000,5,1.5222
MergeSort,1000,5,0.1633
QuickSort,1000,5,0.0735
HeapSort,1000,5,0.1435
SelectionSort,1000,5,0.5538
BubbleSort,5000,1,20.9958
MergeSort,5000,1,2.3504
QuickSort,5000,1,0.3004
HeapSort,5000,1,0.5755
SelectionSort,5000,1,4.5843
BubbleSort,5000,2,14.3741
MergeSort,5000,2,2.0123
QuickSort,5000,2,0.2723
HeapSort,5000,2,0.5218
SelectionSort,5000,2,4.4102
BubbleSort,5000,3,13.377
MergeSort,5000,3,1.7852
QuickSort,5000,3,0.2797
HeapSort,5000,3,0.5728
SelectionSort,5000,3,4.8099
BubbleSort,5000,4,13.1753
MergeSort,5000,4,0.3905
QuickSort,5000,4,0.2679
HeapSort,5000,4,0.4392
SelectionSort,5000,4,4.5
BubbleSort,5000,5,13.3454
MergeSort,5000,5,0.3846
QuickSort,5000,5,0.2735
HeapSort,5000,5,0.5102
SelectionSort,5000,5,4.3296
BubbleSort,10000,1,82.8165
MergeSort,10000,1,0.8951
QuickSort,10000,1,0.6248
HeapSort,10000,1,1.0324
SelectionSort,10000,1,17.4146
BubbleSort,10000,2,82.5466
MergeSort,10000,2,0.8709
QuickSort,10000,2,0.6458
HeapSort,10000,2,0.8159
SelectionSort,10000,2,17.5245
BubbleSort,10000,3,84.5835
MergeSort,10000,3,0.8996
QuickSort,10000,3,0.6703
HeapSort,10000,3,0.8294
SelectionSort,10000,3,17.4408
BubbleSort,10000,4,86.3266
MergeSort,10000,4,0.9129
QuickSort,10000,4,0.6651
HeapSort,10000,4,0.8924
SelectionSort,10000,4,18.1062
BubbleSort,10000,5,87.2334
MergeSort,10000,5,0.9384
QuickSort,10000,5,0.7033
HeapSort,10000,5,0.7513
SelectionSort,10000,5,18.0758
BubbleSort,20000,1,423.4527
MergeSort,20000,1,2.0236
QuickSort,20000,1,1.4071
HeapSort,20000,1,1.6475
SelectionSort,20000,1,70.4357
BubbleSort,20000,2,455.213
MergeSort,20000,2,1.8474
QuickSort,20000,2,1.3249
HeapSort,20000,2,1.5535
SelectionSort,20000,2,67.0526
BubbleSort,20000,3,408.6889
MergeSort,20000,3,1.8712
QuickSort,20000,3,1.2589
HeapSort,20000,3,1.5516
SelectionSort,20000,3,59.133
BubbleSort,20000,4,400.8199
MergeSort,20000,4,1.8297
QuickSort,20000,4,1.3335
HeapSort,20000,4,1.5765
SelectionSort,20000,4,58.5065
BubbleSort,20000,5,437.3612
MergeSort,20000,5,1.8375
QuickSort,20000,5,1.3764
HeapSort,20000,5,1.5592
SelectionSort,20000,5,58.5994
BubbleSort,50000,1,2848.4305
MergeSort,50000,1,5.0019
QuickSort,50000,1,3.3743
HeapSort,50000,1,4.2285
SelectionSort,50000,1,355.393
BubbleSort,50000,2,2804.8384
MergeSort,50000,2,5.1159
QuickSort,50000,2,3.6594
HeapSort,50000,2,4.3433
SelectionSort,50000,2,436.8246
BubbleSort,50000,3,3376.2843
MergeSort,50000,3,7.2865
QuickSort,50000,3,4.3176
HeapSort,50000,3,5.695
SelectionSort,50000,3,728.2065
BubbleSort,50000,4,3459.0448
MergeSort,50000,4,7.1649
QuickSort,50000,4,4.4392
HeapSort,50000,4,5.8769
SelectionSort,50000,4,752.7865
BubbleSort,50000,5,3464.6496
MergeSort,50000,5,7.021
QuickSort,50000,5,4.4428
HeapSort,50000,5,6.2545
SelectionSort,50000,5,737.5533
