Algorithm,n,trial,TimeMs
BubbleSort,1000,1,4.1975
MergeSort,1000,1,1.3154
QuickSort,1000,1,0.9116
HeapSort,1000,1,1.7838
SelectionSort,1000,1,2.7897
BubbleSort,1000,2,1.4829
MergeSort,1000,2,0.1281
QuickSort,1000,2,0.0871
HeapSort,1000,2,0.191
SelectionSort,1000,2,0.5233
BubbleSort,1000,3,1.86
MergeSort,1000,3,0.1144
QuickSort,1000,3,0.0647
HeapSort,1000,3,0.1672
SelectionSort,1000,3,1.2954
BubbleSort,1000,4,0.7212
MergeSort,1000,4,0.129
QuickSort,1000,4,0.0593
HeapSort,1000,4,0.1763
SelectionSort,1000,4,0.2543
BubbleSort,1000,5,0.8201
MergeSort,1000,5,0.1613
QuickSort,1000,5,0.1223
HeapSort,1000,5,0.207
SelectionSort,1000,5,0.2852
BubbleSort,5000,1,24.9006
MergeSort,5000,1,0.4702
QuickSort,5000,1,0.2639
HeapSort,5000,1,0.6672
SelectionSort,5000,1,5.7607
BubbleSort,5000,2,21.1105
MergeSort,5000,2,0.6182
QuickSort,5000,2,0.5305
HeapSort,5000,2,0.5531
SelectionSort,5000,2,5.4268
BubbleSort,5000,3,20.1763
MergeSort,5000,3,0.473
QuickSort,5000,3,0.2489
HeapSort,5000,3,0.761
SelectionSort,5000,3,5.3093
BubbleSort,5000,4,19.5703
MergeSort,5000,4,0.4855
QuickSort,5000,4,0.2565
HeapSort,5000,4,0.5345
SelectionSort,5000,4,5.1912
BubbleSort,5000,5,19.9011
MergeSort,5000,5,0.466
QuickSort,5000,5,0.2497
HeapSort,5000,5,0.5395
SelectionSort,5000,5,5.4216
BubbleSort,10000,1,94.5312
MergeSort,10000,1,0.907
QuickSort,10000,1,0.5179
HeapSort,10000,1,1.2019
SelectionSort,10000,1,19.9118
BubbleSort,10000,2,93.5632
MergeSort,10000,2,0.9134
QuickSort,10000,2,0.5147
HeapSort,10000,2,0.9825
SelectionSort,10000,2,22.8491
BubbleSort,10000,3,118.023
MergeSort,10000,3,0.914
QuickSort,10000,3,0.5157
HeapSort,10000,3,0.9111
SelectionSort,10000,3,23.3167
BubbleSort,10000,4,100.8622
MergeSort,10000,4,0.9348
QuickSort,10000,4,0.5248
HeapSort,10000,4,0.8029
SelectionSort,10000,4,20.1716
BubbleSort,10000,5,96.6083
MergeSort,10000,5,1.0249
QuickSort,10000,5,0.6261
HeapSort,10000,5,0.7325
SelectionSort,10000,5,22.8376
BubbleSort,20000,1,458.6481
MergeSort,20000,1,1.9542
QuickSort,20000,1,1.2295
HeapSort,20000,1,1.498
SelectionSort,20000,1,81.8129
BubbleSort,20000,2,471.679
MergeSort,20000,2,2.6009
QuickSort,20000,2,1.1955
HeapSort,20000,2,1.7702
SelectionSort,20000,2,93.4998
BubbleSort,20000,3,429.714
MergeSort,20000,3,2.0141
QuickSort,20000,3,1.0862
HeapSort,20000,3,1.5627
SelectionSort,20000,3,79.0075
BubbleSort,20000,4,428.1831
MergeSort,20000,4,2.1918
QuickSort,20000,4,1.0898
HeapSort,20000,4,1.5581
SelectionSort,20000,4,85.1197
BubbleSort,20000,5,438.1164
MergeSort,20000,5,4.1407
QuickSort,20000,5,1.134
HeapSort,20000,5,1.5914
SelectionSort,20000,5,80.0596
BubbleSort,50000,1,2894.2611
MergeSort,50000,1,4.4971
QuickSort,50000,1,3.1133
HeapSort,50000,1,4.3404
SelectionSort,50000,1,496.6094
BubbleSort,50000,2,2997.8802
MergeSort,50000,2,6.3433
QuickSort,50000,2,3.6083
HeapSort,50000,2,4.8199
SelectionSort,50000,2,515.8182
BubbleSort,50000,3,2963.1466
MergeSort,50000,3,4.5814
QuickSort,50000,3,3.0183
HeapSort,50000,3,4.5736
SelectionSort,50000,3,509.9467
BubbleSort,50000,4,2882.9731
MergeSort,50000,4,5.1682
QuickSort,50000,4,2.9651
HeapSort,50000,4,4.2542
SelectionSort,50000,4,489.3183
BubbleSort,50000,5,2873.1827
MergeSort,50000,5,5.0544
QuickSort,50000,5,2.9641
HeapSort,50000,5,4.2516
SelectionSort,50000,5,504.1127
